Region,unicorn,Internet security,Data mining,brexit,fifa
Alabama,61,5,1,6,23
Alaska,97,9,0,6,17
Arizona,85,4,2,6,28
Arkansas,71,3,3,6,26
California,85,4,2,7,40
Colorado,85,3,2,7,28
Connecticut,68,3,3,10,46
Delaware,89,8,0,5,35
District of Columbia,62,2,3,10,31
Florida,66,4,1,6,34
Georgia,61,3,1,6,32
Hawaii,94,5,0,8,17
Idaho,100,4,0,9,21
Illinois,70,4,2,8,32
Indiana,80,3,2,6,29
Iowa,67,4,2,5,31
Kansas,59,5,1,7,36
Kentucky,74,4,2,5,22
Louisiana,62,4,1,5,21
Maine,74,4,0,7,25
Maryland,67,7,2,8,41
Massachusetts,69,4,3,9,35
Michigan,72,3,2,6,25
Minnesota,66,5,1,6,24
Mississippi,52,5,1,6,16
Missouri,72,4,2,6,25
Montana,79,9,0,9,13
Nebraska,78,5,1,7,28
Nevada,88,4,2,7,39
New Hampshire,86,8,0,9,27
New Jersey,69,4,2,7,55
New Mexico,77,6,0,5,21
New York,63,4,2,9,39
North Carolina,66,4,1,6,28
North Dakota,92,1,0,8,21
Ohio,67,4,1,6,25
Oklahoma,80,6,2,5,21
Oregon,55,5,3,7,43
Pennsylvania,66,4,2,7,27
Rhode Island,85,9,2,7,33
South Carolina,70,4,2,5,26
South Dakota,86,5,0,9,35
Tennessee,64,3,2,6,21
Texas,54,3,2,5,40
Utah,86,4,3,4,31
Vermont,87,7,0,15,48
Virginia,69,5,2,7,38
Washington,96,4,2,8,26
West Virginia,76,5,0,7,17
Wisconsin,64,3,1,7,23
Wyoming,84,0,0,6,28
